title,store_count,price,item_desc,item_image,link
یخچال فریزر دوو مدل D4BF-1077 ا DAEWOO REFRIGERATOR FREEZER D4BF-1077,در ۲۰ فروشگاه, ,یخچال فریزر دوو مدل D4BF-1077 ا DAEWOO REFRIGERATOR FREEZER D4BF-1077,https://storage.torob.com/backend-api/base/images/43/-m/43-mQS_1PbghZCVq.jpg_/216x216.jpg,https://torob.com//p/47579213-b86b-481d-b9c9-8088151f247c/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-d4bf-1077/
یخچال فریزر فریزر بالا سینجر ا Sinjer Combi R3,در ۸ فروشگاه,از ۱۰٫۸۶۸٫۰۰۰ تومان,یخچال فریزر فریزر بالا سینجر ا Sinjer Combi R3,https://storage.torob.com/backend-api/base/images/Ys/dD/YsdDTIrMAmtRwLx__/216x216.jpg,https://torob.com//p/8dc20801-53f8-457c-8687-8f45b4b2437c/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%A8%D8%A7%D9%84%D8%A7-%D8%B3%DB%8C%D9%86%D8%AC%D8%B1/
یخچال فریزر ایستکول مدل TM-679-200 ا Eastcool TM-679-200 ,در ۱۲ فروشگاه,در ۲۰ فروشگاه,یخچال فریزر ایستکول مدل TM-679-200 ا Eastcool TM-679-200 ,https://storage.torob.com/backend-api/base/images/oP/Y2/oPY2IwASmDCVYUM6.jpg_/216x216.jpg,https://torob.com//p/a3b253e7-7c31-4f3d-919f-514f88b9855e/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%A7%DB%8C%D8%B3%D8%AA%DA%A9%D9%88%D9%84-%D9%85%D8%AF%D9%84-tm-679-200/
یخچال فریزر هیمالیا مدل کمبی 530  هوم بار ا Himalia Combi-530 Refrigerator With Homebar,در ۷ فروشگاه,    ,یخچال فریزر هیمالیا مدل کمبی 530  هوم بار ا Himalia Combi-530 Refrigerator With Homebar,https://www.boorsika.com/upload/product/1404.jpg,https://torob.com//p/522e7344-bc6c-4c67-8f58-b6e3d19d8998/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%87%DB%8C%D9%85%D8%A7%D9%84%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-%DA%A9%D9%85%D8%A8%DB%8C-530-%D9%87%D9%88%D9%85-%D8%A8%D8%A7%D8%B1/
یخچال فریزر دیپوینت مدل Decent ا Beness DESENT Refrigerator,در ۳۱ فروشگاه, ,یخچال فریزر دیپوینت مدل Decent ا Beness DESENT Refrigerator,https://storage.torob.com/backend-api/base/images/ct/hd/cthd_-IggQ6Ytr0l.jpg_/216x216.jpg,https://torob.com//p/5836700d-b2c2-41bb-bf49-7b201c3c7878/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%AF%DB%8C%D9%BE%D9%88%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-decent/
یخچال فریزر دوقلو استیلون مدل Storm Plus - مشکی ا Steelon Twin Refrigerator Freezer Model Storm Plus,در ۴ فروشگاه,از ۸٫۰۳۳٫۳۰۰ تومان,یخچال فریزر دوقلو استیلون مدل Storm Plus - مشکی ا Steelon Twin Refrigerator Freezer Model Storm Plus,https://storage.torob.com/backend-api/base/images/0Z/rT/0ZrTMITuWiiUGxzy.jpg_/216x216.jpg,https://torob.com//p/416e4248-b143-4b7d-b081-05de47033e05/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%AF%D9%88%D9%82%D9%84%D9%88-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84%D9%88%D9%86-%D9%85%D8%AF%D9%84-storm-plus-%D9%85%D8%B4%DA%A9%DB%8C/
یخچال فریزر ساید بای ساید ال جی مدل X267 ا LG GR-X267 Refrigerator,در ۷ فروشگاه,در ۸ فروشگاه,یخچال فریزر ساید بای ساید ال جی مدل X267 ا LG GR-X267 Refrigerator,https://storage.torob.com/backend-api/base/images/9_/ZO/9_ZORLVpL3QvJa3E.jpg_/216x216.jpg,https://torob.com//p/1ff1413e-d3e7-4445-8e6b-718c873412b8/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A7%D9%84-%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-x267/
یخچال فریزر امرسان مدل TF16T ا Emersun TF16T329CLA ,در ۱۱ فروشگاه,    ,یخچال فریزر امرسان مدل TF16T ا Emersun TF16T329CLA ,https://www.boorsika.com/upload/product/1---20----BFN20D321CLA.jpg,https://torob.com//p/0961c41a-359b-4eb2-bb6b-deb7c34f5d8c/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%A7%D9%85%D8%B1%D8%B3%D8%A7%D9%86-%D9%85%D8%AF%D9%84-tf16t/
یخچال ساید سامسونگ RF48 ا ۲۶ فوت فرنچ ا Samsung Side by Side Refrigerator 26 Feet RF48 French,در ۱۱ فروشگاه, ,یخچال ساید سامسونگ RF48 ا ۲۶ فوت فرنچ ا Samsung Side by Side Refrigerator 26 Feet RF48 French,https://storage.torob.com/backend-api/base/images/p2/Gf/p2GfzVjGEz4uXZz4.jpg_/216x216.jpg,https://torob.com//p/5a2ac5a7-8df0-4114-89ea-b0d851acafab/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-rf48-%D8%A7-26-%D9%81%D9%88%D8%AA-%D9%81%D8%B1%D9%86%DA%86/
یخچال فریزر جنرال 27 فوت سیلور,در ۳ فروشگاه,از ۵٫۷۰۰٫۰۰۰ تومان,یخچال فریزر جنرال 27 فوت سیلور,https://storage.torob.com/backend-api/base/images/Hg/N1/HgN1P5Gr-GjBZeKE.jpg_/216x216.jpg,https://torob.com//p/b52d8089-5874-45a7-bc29-76b2e66a552e/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%AC%D9%86%D8%B1%D8%A7%D9%84-27-%D9%81%D9%88%D8%AA-%D8%B3%DB%8C%D9%84%D9%88%D8%B1/
